Super_Word,Value
,set([''])
limited,set(['limited'])
forget,set(['forget'])
themed,set(['themed'])
dance,set(['dance'])
theaters,set(['theaters'])
go,set(['go'])
saved,set(['saved'])
children,set(['children'])
recharge,set(['recharge'])
content,set(['content'])
calculate,set(['calculate'])
description,set(['description'])
send,set(['send'])
germain,set(['germain'])
program,set(['program'])
promoting,set(['promoting'])
helps,set(['helps'])
include,set(['include'])
sent,set(['sent'])
eliminate,set(['eliminate'])
activities,set(['activities'])
far,set(['far'])
cheap,set(['cheap'])
choice,set(['choice'])
festuve,set(['festuve'])
cool,set(['cool'])
entire,set(['entire'])
cooks,set(['cooks'])
notes,set(['notes'])
list,set(['list'])
applicable,set(['applicable'])
try,set(['try'])
item,set(['item'])
team,set(['team'])
quick,set(['quick'])
enhance,set(['enhance'])
clothes,set(['clothes'])
enjoy,set(['enjoy'])
pretend,set(['pretend'])
direct,set(['direct'])
sign,set(['sign'])
past,set(['past'])
dish,set(['dish'])
invention,set(['invention'])
video,set(['video'])
displays,set(['displays'])
photographed,set(['photographed'])
makers,set(['makers'])
even,set(['even'])
power,set(['power'])
clock,set(['clock'])
selected,set(['selected'])
current,set(['current'])
waiting,set(['waiting'])
version,set(['version'])
goes,set(['goes'])
flowing,set(['flowing'])
new,set(['new'])
increasing,set(['increasing'])
3d,set(['3d'])
full,set(['full'])
tags,set(['tags'])
never,set(['never'])
answers,set(['answers'])
liquors,set(['liquors'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
others,set(['others'])
directions,set(['directions'])
towncity,set(['towncity'])
along,set(['along'])
quite,set(['quite'])
teacher,set(['teacher'])
wait,set(['wait'])
great,set(['great'])
kids,set(['kids'])
receive,set(['receive'])
items,set(['items'])
inspired,set(['inspired'])
changed,set(['changed'])
allows,set(['allows'])
host,set(['host'])
experience,set(['experience'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
pick,set(['pick'])
changes,set(['changes'])
maker,set(['maker'])
prints,set(['prints'])
love,set(['love'])
projection,set(['projection'])
family,set(['family'])
extra,set(['extra'])
private,set(['private'])
replace,set(['replace'])
screens,set(['screens'])
put,set(['put'])
guests,set(['guests'])
festivals,set(['festivals'])
total,set(['total'])
from,set(['from'])
takes,set(['takes'])
visit,set(['visit'])
two,set(['two'])
sports,set(['sports'])
vineyard,set(['vineyard'])
live,set(['live'])
call,set(['call'])
calm,set(['calm'])
crab,set(['crab'])
strike,set(['strike'])
type,set(['type'])
today,set(['today'])
aware,set(['aware'])
phone,set(['phone'])
flag,set(['flag'])
cookware,set(['cookware'])
prizes,set(['prizes'])
customer,set(['customer'])
account,set(['account'])
bartender,set(['bartender'])
origins,set(['origins'])
hour,set(['hour'])
work,set(['work'])
entertained,set(['entertained'])
reviews,set(['reviews'])
movies,set(['movies'])
remain,set(['remain'])
napkins,set(['napkins'])
resources,set(['resources'])
cam,set(['cam'])
of,set(['of'])
making,set(['making'])
example,set(['example'])
history,set(['history'])
decorative,set(['decorative'])
purchases,set(['purchases'])
give,set(['give'])
process,set(['process'])
newsletters,set(['newsletters'])
suggestions,set(['suggestions'])
touchscreen,set(['touchscreen'])
heard,set(['heard'])
something,set(['something'])
clothing,set(['clothing'])
simple,set(['simple'])
information,set(['information'])
end,set(['end'])
rather,set(['rather'])
plans,set(['plans'])
utilize,set(['utilize'])
write,set(['write'])
maps,set(['maps'])
dessert,set(['dessert'])
instead,set(['instead'])
pizza,set(['pizza'])
profile,set(['profile'])
gaming,"set(['gaming', 'entertainment'])"
product,set(['product'])
sandwich,set(['sandwich'])
mat,set(['mat'])
crashes,set(['crashes'])
behindthescenes,set(['behindthescenes'])
stop,set(['stop'])
loyalty,set(['loyalty'])
catalog,set(['catalog'])
designed,set(['designed'])
tablecloth,set(['tablecloth'])
wave,set(['wave'])
man,set(['man'])
short,set(['short'])
remember,"set(['hear', 'remember'])"
maybe,set(['maybe'])
sp,set(['sp'])
st,set(['st'])
deserted,set(['deserted'])
allow,set(['allow'])
things,set(['things'])
order,set(['order'])
wine,set(['wine'])
help,set(['help'])
displayed,set(['displayed'])
paper,set(['paper'])
tablets,set(['tablets'])
cold,set(['cold'])
mixup,set(['mixup'])
before,set(['before'])
pens,set(['pens'])
monitor,set(['monitor'])
fit,set(['fit'])
personal,set(['personal'])
fix,set(['fix'])
better,set(['better'])
platform,set(['platform'])
choose,set(['choose'])
weeks,set(['weeks'])
might,set(['might'])
them,set(['them'])
good,set(['good'])
food,set(['food'])
auto,set(['auto'])
practice,set(['practice'])
school,set(['school'])
break,set(['break'])
walls,set(['walls'])
touching,set(['touching'])
schools,set(['schools'])
ninja,set(['ninja'])
realize,set(['realize'])
easily,set(['easily'])
name,set(['name'])
fully,set(['fully'])
rocks,set(['rocks'])
possibilities,set(['possibilities'])
doesnt,set(['doesnt'])
button,set(['button'])
turtle,set(['turtle'])
everyone,set(['everyone'])
map,set(['map'])
house,set(['house'])
hard,set(['hard'])
idea,"set(['concept', 'idea'])"
group,set(['group'])
used,set(['used'])
itsel,set(['itsel'])
fingertips,set(['fingertips'])
message,set(['message'])
special,set(['special'])
out,set(['out'])
deals,set(['deals'])
cocktail,set(['cocktail'])
space,set(['space'])
outings,set(['outings'])
encourage,set(['encourage'])
electronics,set(['electronics'])
math,set(['math'])
inevitably,set(['inevitably'])
upon,set(['upon'])
contain,set(['contain'])
free,set(['free'])
previews,set(['previews'])
small,"set(['small', 'large'])"
mime,set(['mime'])
ask,set(['ask'])
estimate,set(['estimate'])
holidays,set(['holidays'])
caloriesfood,set(['caloriesfood'])
card,set(['card'])
log,set(['log'])
waiter,set(['waiter'])
recipes,set(['recipes'])
needing,set(['needing'])
calories,set(['calories'])
wrong,set(['wrong'])
keep,set(['keep'])
turn,set(['turn'])
place,set(['place'])
incorporated,set(['incorporated'])
timed,set(['timed'])
restaurants,set(['restaurants'])
think,"set(['think', 'know'])"
lay,set(['lay'])
there,set(['there'])
features,set(['features'])
revenue,set(['revenue'])
feel,set(['feel'])
attractions,"set(['attractions', 'parks'])"
misc,set(['misc'])
one,set(['one'])
wash,set(['wash'])
smaller,"set(['smaller', 'larger'])"
done,set(['done'])
directly,set(['directly'])
calorie,set(['calorie'])
pokemon,set(['pokemon'])
city,set(['city'])
little,set(['little'])
guest,set(['guest'])
attach,set(['attach'])
ordering,set(['ordering'])
top,set(['top'])
system,set(['system'])
paint,set(['paint'])
too,set(['too'])
statement,set(['statement'])
essays,set(['essays'])
expanded,set(['expanded'])
tourists,set(['tourists'])
friend,set(['friend'])
gives,set(['gives'])
interests,set(['interests'])
lot,set(['lot'])
that,set(['that'])
season,set(['season'])
signup,set(['signup'])
appreciation,set(['appreciation'])
part,set(['part'])
theater,set(['theater'])
copy,set(['copy'])
chef,set(['chef'])
television,"set(['tv', 'television'])"
target,set(['target'])
specials,set(['specials'])
bed,set(['bed'])
preparation,set(['preparation'])
future,set(['future'])
store,set(['store'])
light,set(['light'])
placemats,set(['placemats'])
waiterwaitress,set(['waiterwaitress'])
clip,set(['clip'])
modern,set(['modern'])
mine,set(['mine'])
idles,set(['idles'])
further,set(['further'])
need,set(['need'])
aged,set(['aged'])
occupied,set(['occupied'])
linked,set(['linked'])
option,set(['option'])
sell,set(['sell'])
built,set(['built'])
dishes,"set(['flavors', 'dishes', 'wines', 'seafood', 'beverages', 'desserts', 'ingredients', 'drinks'])"
check,set(['check'])
allergies,set(['allergies'])
able,set(['able'])
ideas,set(['ideas'])
dining,set(['dining'])
ideal,set(['ideal'])
contact,set(['contact'])
take,set(['take'])
solve,set(['solve'])
trivia,set(['trivia'])
rides,set(['rides'])
play,set(['play'])
sure,set(['sure'])
prohibition,set(['prohibition'])
normal,set(['normal'])
customize,set(['customize'])
limitless,set(['limitless'])
waits,set(['waits'])
device,set(['device'])
coolerto,set(['coolerto'])
appear,set(['appear'])
room,set(['room'])
windows,set(['windows'])
clear,set(['clear'])
napkin,set(['napkin'])
request,set(['request'])
heat,set(['heat'])
face,set(['face'])
points,set(['points'])
tech,set(['tech'])
clean,set(['clean'])
pictures,set(['pictures'])
fact,set(['fact'])
incorporate,set(['incorporate'])
shot,set(['shot'])
show,set(['show'])
meetings,set(['meetings'])
recipe,set(['recipe'])
bring,set(['bring'])
appetizersetc,set(['appetizersetc'])
find,set(['find'])
staff,set(['staff'])
partners,set(['partners'])
busy,set(['busy'])
based,set(['based'])
menu,"set(['menu', 'menus'])"
theme,set(['theme'])
going,set(['going'])
pretty,set(['pretty'])
announce,set(['announce'])
local,set(['local'])
intractable,set(['intractable'])
get,set(['get'])
beat,set(['beat'])
familiar,set(['familiar'])
blur,set(['blur'])
watch,set(['watch'])
trees,set(['trees'])
appetizer,set(['appetizer'])
preparing,set(['preparing'])
bar,set(['bar'])
resteraunt,set(['resteraunt'])
countries,set(['countries'])
email,set(['email'])
clowns,set(['clowns'])
cartoons,set(['cartoons'])
recommendations,set(['recommendations'])
grab,set(['grab'])
view,set(['view'])
bars,set(['bars'])
set,set(['set'])
art,set(['art'])
thwarting,set(['thwarting'])
liquor,set(['liquor'])
researpapers,set(['researpapers'])
seat,set(['seat'])
cocktails,set(['cocktails'])
see,set(['see'])
computer,set(['computer'])
close,set(['close'])
best,set(['best'])
websitemenu,set(['websitemenu'])
placed,set(['placed'])
movie,set(['movie'])
away,set(['away'])
outside,set(['outside'])
juggle,set(['juggle'])
reading,set(['reading'])
across,set(['across'])
decorate,set(['decorate'])
available,set(['available'])
ability,set(['ability'])
screen,set(['screen'])
wear,set(['wear'])
key,set(['key'])
interface,set(['interface'])
news,set(['news'])
come,set(['come'])
kitchen,set(['kitchen'])
water,set(['water'])
restaurant,set(['restaurant'])
many,set(['many'])
antisocial,set(['antisocial'])
display,set(['display'])
etc,set(['etc'])
tour,set(['tour'])
patrons,set(['patrons'])
login,set(['login'])
interactive,"set(['multimedia', 'interactive'])"
whole,set(['whole'])
asked,set(['asked'])
relevant,set(['relevant'])
afterwards,set(['afterwards'])
