Super_Word,Value
,set([''])
incorporate,set(['incorporate'])
concept,set(['concept'])
set,set(['set'])
show,set(['show'])
dance,set(['dance'])
bring,set(['bring'])
theaters,set(['theaters'])
dish,set(['dish'])
appetizersetc,set(['appetizersetc'])
find,set(['find'])
request,set(['request'])
partners,set(['partners'])
busy,set(['busy'])
based,set(['based'])
calculate,set(['calculate'])
everything,set(['everything'])
menu,"set(['menu', 'menus'])"
themed,set(['themed'])
young,set(['young'])
theme,set(['theme'])
program,set(['program'])
helps,set(['helps'])
videos,set(['videos'])
money,set(['money'])
announce,set(['announce'])
include,set(['include'])
local,set(['local'])
sent,set(['sent'])
eliminate,"set(['eliminate', 'remove'])"
info,set(['info'])
touchscreen,set(['touchscreen'])
keeps,set(['keeps'])
get,set(['get'])
linked,set(['linked'])
dessert,"set(['dessert', 'desserts'])"
pages,set(['pages'])
watch,set(['watch'])
preferred,set(['preferred'])
appetizer,set(['appetizer'])
puzzles,set(['puzzles'])
trouble,set(['trouble'])
room,set(['room'])
entire,set(['entire'])
reading,set(['reading'])
bar,set(['bar'])
resteraunt,set(['resteraunt'])
exits,set(['exits'])
signal,set(['signal'])
customizable,set(['customizable'])
list,set(['list'])
large,set(['large'])
item,set(['item'])
cartoons,set(['cartoons'])
recommendations,set(['recommendations'])
quick,set(['quick'])
possibilities,set(['possibilities'])
grab,set(['grab'])
outings,set(['outings'])
restaurants,set(['restaurants'])
enjoy,set(['enjoy'])
bars,set(['bars'])
expanded,set(['expanded'])
art,set(['art'])
direct,set(['direct'])
lot,set(['lot'])
seat,set(['seat'])
chef,set(['chef'])
go,set(['go'])
see,set(['see'])
computer,set(['computer'])
video,set(['video'])
displays,set(['displays'])
magazines,"set(['newspapers', 'magazines'])"
further,set(['further'])
activities,set(['activities'])
makers,set(['makers'])
best,set(['best'])
even,set(['even'])
websitemenu,set(['websitemenu'])
lots,set(['lots'])
movie,set(['movie'])
selected,set(['selected'])
children,set(['children'])
waiting,set(['waiting'])
goes,set(['goes'])
flowing,set(['flowing'])
new,set(['new'])
increasing,set(['increasing'])
across,set(['across'])
available,set(['available'])
full,set(['full'])
invention,set(['invention'])
web,set(['web'])
screen,set(['screen'])
answers,set(['answers'])
water,set(['water'])
explore,set(['explore'])
coloring,set(['coloring'])
let,set(['let'])
wear,set(['wear'])
directions,set(['directions'])
news,set(['news'])
along,set(['along'])
come,set(['come'])
change,set(['change'])
monitor,set(['monitor'])
plates,set(['plates'])
kids,set(['kids'])
restaurant,set(['restaurant'])
receive,set(['receive'])
items,set(['items'])
inspired,set(['inspired'])
larger,set(['larger'])
emergency,set(['emergency'])
space,set(['space'])
experience,set(['experience'])
guide,set(['guide'])
etc,set(['etc'])
tour,set(['tour'])
entertain,set(['entertain'])
patrons,set(['patrons'])
advertising,set(['advertising'])
suggestion,set(['suggestion'])
social,set(['social'])
login,set(['login'])
floor,set(['floor'])
whole,set(['whole'])
maker,set(['maker'])
comes,set(['comes'])
suggest,set(['suggest'])
relevant,set(['relevant'])
afterwards,set(['afterwards'])
family,set(['family'])
simple,set(['simple'])
deals,set(['deals'])
waiterwaitress,set(['waiterwaitress'])
whatever,set(['whatever'])
screens,set(['screens'])
interface,set(['interface'])
simply,set(['simply'])
guests,set(['guests'])
towncity,set(['towncity'])
table,set(['table'])
festivals,set(['festivals'])
total,set(['total'])
expensive,set(['expensive'])
ad,set(['ad'])
bingo,set(['bingo'])
bathroom,set(['bathroom'])
from,set(['from'])
takes,set(['takes'])
source,set(['source'])
addition,set(['addition'])
create,set(['create'])
locally,set(['locally'])
visit,set(['visit'])
due,set(['due'])
next,set(['next'])
vineyard,set(['vineyard'])
live,set(['live'])
call,set(['call'])
calm,set(['calm'])
crab,set(['crab'])
taken,set(['taken'])
wait,set(['wait'])
type,set(['type'])
today,set(['today'])
board,set(['board'])
website,set(['website'])
direction,set(['direction'])
modern,set(['modern'])
families,set(['families'])
engaged,set(['engaged'])
affixed,set(['affixed'])
maps,set(['maps'])
visual,set(['visual'])
cookware,set(['cookware'])
prizes,set(['prizes'])
dresigns,set(['dresigns'])
customer,set(['customer'])
bartender,set(['bartender'])
look,set(['look'])
hour,set(['hour'])
bill,set(['bill'])
entertained,set(['entertained'])
reviews,set(['reviews'])
movies,set(['movies'])
napkins,set(['napkins'])
cam,set(['cam'])
many,set(['many'])
fun,set(['fun'])
making,set(['making'])
animated,set(['animated'])
example,set(['example'])
history,set(['history'])
decorative,set(['decorative'])
purchases,set(['purchases'])
needing,set(['needing'])
bathrooms,set(['bathrooms'])
played,set(['played'])
process,set(['process'])
newsletters,set(['newsletters'])
suggestions,set(['suggestions'])
it,set(['it'])
raise,set(['raise'])
good,set(['good'])
something,set(['something'])
want,"set(['wish', 'want'])"
beautifully,set(['beautifully'])
ready,set(['ready'])
technology,set(['technology'])
sever,set(['sever'])
wihere,set(['wihere'])
decor,set(['decor'])
perhaps,set(['perhaps'])
end,set(['end'])
shirt,set(['shirt'])
rather,set(['rather'])
media,set(['media'])
make,set(['make'])
purpose,set(['purpose'])
utilize,set(['utilize'])
check,set(['check'])
read,set(['read'])
pad,set(['pad'])
familiar,set(['familiar'])
games,"set(['game', 'games'])"
status,set(['status'])
map,set(['map'])
arrives,set(['arrives'])
mat,set(['mat'])
cocktail,set(['cocktail'])
information,set(['information'])
clothes,set(['clothes'])
stop,set(['stop'])
upon,set(['upon'])
loyalty,set(['loyalty'])
alert,set(['alert'])
timed,set(['timed'])
asked,set(['asked'])
uses,set(['uses'])
lay,set(['lay'])
changing,set(['changing'])
tablecloth,set(['tablecloth'])
choice,set(['choice'])
